seqName,strand,individual,locus,allele
G4S72XW01AR6D7,F,124,3,NewAllele_1036 count=17 threshold=2
G4S72XW01A72RV,R,103,4,Mama_UD_01
G4S72XW01ARCPP,F,52,3,<unidentified>
G4S72XW01AWZ6A,R,109,1,NewAllele_112 count=2 threshold=2
G4S72XW01BDKBU,R,135,3,NewAllele_1102 count=3 threshold=2
G4S72XW01AZH9D,F,35,1,Mama_DRB1_03
G4S72XW01AL1Y2,F,22,3,Mama_UB_02
G4S72XW01AMH2F,R,135,2,NewAllele_176 count=297 threshold=2
G4S72XW01AUIB6,R,43,4,Mama_UD_01
G4S72XW01ANUH1,R,90,2,NewAllele_171 count=7 threshold=2
G4S72XW01A8YJ7,F,109,2,NewAllele_386 count=10 threshold=2
G4S72XW01AMP40,F,33,1,Mama_DRB1_03
G4S72XW01AL3PH,F,58,2,NewAllele_493 count=7 threshold=2
G4S72XW01AKMH7,F,72,4,Mama_UD_03
G4S72XW01AJ9BX,F,111,2,Mama_DRB2_02
G4S72XW01AKVEM,R,130,2,NewAllele_221 count=591 threshold=2
G4S72XW01AVJ8Q,F,33,4,Mama_UD_01
G4S72XW01A7ZUA,F,106,1,Mama_DRB1_01
G4S72XW01ANXY2,F,49,4,Mama_UD_01
G4S72XW01ASZSM,R,35,4,NewAllele_1334 count=3 threshold=2
G4S72XW01BDOTT,F,128,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AN763,R,89,2,NewAllele_523 count=8 threshold=2
G4S72XW01AVXPF,F,87,3,Mama_UB_01
G4S72XW01AWRKN,R,84,4,NewAllele_1369 count=3 threshold=2
G4S72XW01A6D8G,F,111,4,NewAllele_1442 count=2 threshold=2
G4S72XW01A4H3J,F,62,2,NewAllele_508 count=182 threshold=2
G4S72XW01A4EGO,R,98,1,NewAllele_25 count=2 threshold=2
G4S72XW01A1ZSN,F,81,3,Mama_UB_01
G4S72XW01A8137,R,101,4,NewAllele_1324 count=4 threshold=2
G4S72XW01AK49D,F,56,4,Mama_UD_01
G4S72XW01A0Y42,F,99,2,NewAllele_508 count=182 threshold=2
G4S72XW01A4B2F,R,5,4,Mama_UD_01
G4S72XW01AM00Y,F,127,1,Mama_DRB1_03
G4S72XW01ASHU7,R,85,3,Mama_UB_01
G4S72XW01AVGOD,F,22,2,NewAllele_530 count=9 threshold=2
G4S72XW01AX63U,R,76,3,<unidentified>
G4S72XW01ASFFJ,F,7,2,NewAllele_508 count=182 threshold=2
G4S72XW01A53HJ,F,72,3,Mama_UB_02
G4S72XW01AYNBI,F,3,1,NewAllele_144 count=2 threshold=2
G4S72XW01ALQ5T,F,113,1,NewAllele_85 count=2 threshold=2
G4S72XW01AKYLC,F,93,2,NewAllele_530 count=9 threshold=2
G4S72XW01BFKOG,F,130,1,Mama_DRB1_05
G4S72XW01A7MME,R,50,3,NewAllele_1025 count=3 threshold=2
G4S72XW01ALJQ3,F,40,2,Mama_DRB2_01
G4S72XW01AJ0YC,F,57,3,<unidentified>
G4S72XW01AYSOQ,R,130,3,<unidentified>
G4S72XW01A3DCU,F,58,2,Mama_DRB2_01
G4S72XW01ASJ2J,R,33,3,NewAllele_1176 count=2 threshold=2
G4S72XW01AQA8F,R,21,3,NewAllele_996 count=3 threshold=2
G4S72XW01ARXRM,F,37,1,Mama_DRB1_01
G4S72XW01BBY69,R,21,4,NewAllele_1521 count=18 threshold=2
G4S72XW01BBD3H,F,57,1,Mama_DRB1_02
G4S72XW01BC4LH,R,39,3,<unidentified>
G4S72XW01AOPZC,F,135,3,NewAllele_819 count=2 threshold=2
G4S72XW01BBXYN,R,60,2,NewAllele_381 count=782 threshold=2
G4S72XW01A0NB5,F,98,3,NewAllele_939 count=2 threshold=2
G4S72XW01A7XB2,F,103,1,<unidentified>
G4S72XW01AZUXN,F,17,2,NewAllele_508 count=182 threshold=2
G4S72XW01A6QNA,F,14,1,<unidentified>
G4S72XW01A1QSB,F,14,2,NewAllele_587 count=2 threshold=2
G4S72XW01AMY9Z,F,41,2,NewAllele_530 count=9 threshold=2
G4S72XW01AUIGD,F,1,4,Mama_UD_01
G4S72XW01AZZ46,R,12,2,NewAllele_221 count=591 threshold=2
G4S72XW01ASNYM,R,141,1,Mama_DRB1_07
G4S72XW01AS6W5,R,139,4,Mama_UD_01
G4S72XW01A41N8,R,133,1,Mama_DRB1_01
G4S72XW01AXR2E,F,68,3,Mama_UB_01
G4S72XW01A12NP,F,23,2,NewAllele_508 count=182 threshold=2
G4S72XW01ASE11,F,114,2,Mama_DRB2_02
G4S72XW01AND5N,F,35,1,<unidentified>
G4S72XW01A3SEB,R,101,4,Mama_UD_01
G4S72XW01ASVWJ,F,113,2,Mama_DRB2_01
G4S72XW01AOOOC,R,33,3,Mama_UB_02
G4S72XW01AUA7K,F,106,1,<unidentified>
G4S72XW01AMQNJ,F,54,3,<unidentified>
G4S72XW01AU6ZC,R,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01BAIAB,R,29,1,<unidentified>
G4S72XW01AS7KH,F,104,4,NewAllele_1341 count=8 threshold=2
G4S72XW01AMNQX,F,103,3,NewAllele_843 count=10 threshold=2
G4S72XW01A43GJ,F,58,2,NewAllele_530 count=9 threshold=2
G4S72XW01AYWMI,F,110,2,Mama_DRB2_01
G4S72XW01AZDGM,F,110,1,Mama_DRB1_01
G4S72XW01A2X2R,R,61,4,Mama_UD_03
G4S72XW01AN93A,F,37,1,Mama_DRB1_01
G4S72XW01A5M4U,F,53,1,<unidentified>
G4S72XW01AO21U,R,24,3,Mama_UB_02
G4S72XW01ALZK1,F,83,1,<unidentified>
G4S72XW01AXZXE,F,123,4,Mama_UD_01
G4S72XW01A1D6V,R,136,1,NewAllele_27 count=2 threshold=2
G4S72XW01AVUPX,R,94,2,NewAllele_530 count=9 threshold=2
G4S72XW01A4C12,R,101,4,Mama_UD_01
G4S72XW01AQCX8,F,68,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ATFFS,F,102,1,Mama_DRB1_03
G4S72XW01ANAVL,F,37,4,Mama_UD_01
G4S72XW01AZKU0,F,130,1,<unidentified>
G4S72XW01A2KZ2,F,56,1,NewAllele_64 count=2 threshold=2
G4S72XW01APAEE,R,135,4,Mama_UD_01
G4S72XW01AR7TW,F,133,1,Mama_DRB1_06
G4S72XW01ARR1W,F,95,4,Mama_UD_03
G4S72XW01A75X3,R,15,3,NewAllele_855 count=6 threshold=2
G4S72XW01ARW7O,R,33,1,Mama_DRB1_03
G4S72XW01AY4DJ,F,58,2,Mama_DRB2_01
G4S72XW01A1D2Q,R,29,4,NewAllele_1691 count=8 threshold=2
G4S72XW01ALHBR,R,55,3,<unidentified>
G4S72XW01A4V8S,F,31,4,Mama_UD_02
G4S72XW01APGAA,R,47,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ATXCP,F,107,1,Mama_DRB1_01
G4S72XW01AOQFR,F,32,4,NewAllele_1369 count=3 threshold=2
G4S72XW01AX4J5,F,89,4,Mama_UD_01
G4S72XW01AUBQF,F,101,1,Mama_DRB1_02
G4S72XW01BCNDG,F,130,1,Mama_DRB1_05
G4S72XW01A8AWR,F,93,3,NewAllele_1230 count=2 threshold=2
G4S72XW01AVRF1,F,125,4,Mama_UD_01
G4S72XW01ATDV4,F,56,4,NewAllele_1369 count=3 threshold=2
G4S72XW01AMF7O,F,62,4,NewAllele_1656 count=8 threshold=2
G4S72XW01A2JFE,F,131,3,Mama_UB_02
G4S72XW01AQ3J2,F,30,3,NewAllele_1225 count=46 threshold=2
G4S72XW01AZ9A8,R,72,3,Mama_UB_02
G4S72XW01AS3GM,F,54,3,<unidentified>
G4S72XW01AN5PY,R,66,3,Mama_UB_01
G4S72XW01AS9JH,F,40,2,NewAllele_381 count=782 threshold=2
G4S72XW01A2EX5,F,72,2,NewAllele_466 count=2 threshold=2
G4S72XW01AM51T,R,138,1,Mama_DRB1_01
G4S72XW01A0H0C,F,70,4,Mama_UD_03
G4S72XW01A56BC,F,2,3,<unidentified>
G4S72XW01BEMDE,R,112,2,NewAllele_415 count=3 threshold=2
G4S72XW01AM1AK,R,40,4,NewAllele_1369 count=3 threshold=2
G4S72XW01AXU6A,R,33,2,NewAllele_221 count=591 threshold=2
G4S72XW01A29S5,F,98,3,Mama_UB_01
G4S72XW01A8UWD,R,51,1,Mama_DRB1_01
G4S72XW01ALWIU,F,87,4,Mama_UD_01
G4S72XW01AX291,R,141,1,<unidentified>
G4S72XW01AOZX1,F,51,1,Mama_DRB1_01
G4S72XW01AWW64,F,115,3,Mama_UB_01
G4S72XW01AM9LP,F,90,4,Mama_UD_01
G4S72XW01BCHY5,F,93,3,NewAllele_860 count=2 threshold=2
G4S72XW01A5CNI,F,128,4,Mama_UD_01
G4S72XW01AM3FB,F,40,4,NewAllele_1639 count=37 threshold=2
G4S72XW01A3REF,F,41,2,NewAllele_381 count=782 threshold=2
G4S72XW01ATYQ5,F,103,1,<unidentified>
G4S72XW01AZVS2,F,21,3,NewAllele_855 count=6 threshold=2
G4S72XW01A5NXT,F,71,2,NewAllele_530 count=9 threshold=2
G4S72XW01A2A4A,R,50,4,NewAllele_1334 count=3 threshold=2
G4S72XW01APDBT,F,109,2,NewAllele_530 count=9 threshold=2
G4S72XW01A30HM,R,33,2,NewAllele_221 count=591 threshold=2
G4S72XW01AREDA,F,33,1,Mama_DRB1_02
G4S72XW01AU7W0,F,94,3,Mama_UB_01
G4S72XW01AQMFV,F,22,2,Mama_DRB2_01
G4S72XW01AUO79,F,53,3,Mama_UB_01
G4S72XW01A8DI4,R,55,4,NewAllele_1726 count=4 threshold=2
G4S72XW01AXHBE,R,95,4,NewAllele_1432 count=2 threshold=2
G4S72XW01A7LZC,F,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AVQQS,F,47,2,NewAllele_508 count=182 threshold=2
G4S72XW01ANCA5,F,94,4,NewAllele_1482 count=6 threshold=2
G4S72XW01APD9T,R,101,4,Mama_UD_01
G4S72XW01BB070,R,35,3,<unidentified>
G4S72XW01APM73,F,57,2,NewAllele_227 count=3 threshold=2
G4S72XW01A21JL,F,119,2,NewAllele_508 count=182 threshold=2
G4S72XW01AURKU,F,49,4,Mama_UD_01
G4S72XW01ANE59,R,84,2,NewAllele_530 count=9 threshold=2
G4S72XW01BFBKE,R,116,3,NewAllele_852 count=38 threshold=2
G4S72XW01AP4TT,F,11,3,<unidentified>
G4S72XW01AKTEC,F,130,1,Mama_DRB1_02
G4S72XW01BDQWQ,F,33,4,NewAllele_1695 count=25 threshold=2
G4S72XW01A6F43,F,62,4,Mama_UD_01
G4S72XW01AS56F,F,102,3,Mama_UB_02
G4S72XW01AZJT8,F,84,3,NewAllele_797 count=5 threshold=2
G4S72XW01A4QWT,R,31,3,NewAllele_1089 count=2 threshold=2
G4S72XW01AWQOC,F,22,4,Mama_UD_01
G4S72XW01AVE4P,F,129,2,Mama_DRB2_02
G4S72XW01AP4V9,F,50,4,Mama_UD_01
G4S72XW01BD52T,F,92,4,Mama_UD_02
G4S72XW01A51D5,R,140,4,Mama_UD_01
G4S72XW01AULEL,R,91,2,NewAllele_535 count=4 threshold=2
G4S72XW01A356H,R,51,4,Mama_UD_03
G4S72XW01AWJTE,F,101,1,NewAllele_151 count=2 threshold=2
G4S72XW01AXK4X,F,123,3,NewAllele_1233 count=2 threshold=2
G4S72XW01AYVX4,R,51,4,Mama_UD_03
G4S72XW01AT9JD,F,89,3,Mama_UB_01
G4S72XW01AWPF6,F,131,4,Mama_UD_01
G4S72XW01ARMPC,R,47,4,Mama_UD_01
G4S72XW01A4FIC,R,33,2,NewAllele_433 count=3 threshold=2
G4S72XW01ANAP5,F,113,2,NewAllele_530 count=9 threshold=2
G4S72XW01AV89Q,R,69,1,<unidentified>
G4S72XW01AQVNK,F,133,2,NewAllele_411 count=2 threshold=2
G4S72XW01AV3Y3,F,102,2,Mama_DRB2_03
G4S72XW01ASKD1,R,139,2,NewAllele_221 count=591 threshold=2
G4S72XW01AMKH9,R,128,2,NewAllele_176 count=297 threshold=2
G4S72XW01AKU98,F,55,3,Mama_UB_02
G4S72XW01AUKFU,F,25,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AP9PM,R,68,3,NewAllele_810 count=8 threshold=2
G4S72XW01AM54O,F,57,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AUV5Z,F,66,2,Mama_DRB2_02
G4S72XW01AWE4R,R,25,3,NewAllele_750 count=4 threshold=2
G4S72XW01BA8NL,F,25,3,NewAllele_1094 count=2 threshold=2
G4S72XW01BABBU,F,14,1,Mama_DRB1_03
G4S72XW01A9AX6,F,15,3,NewAllele_855 count=6 threshold=2
G4S72XW01A5LB0,R,90,2,NewAllele_221 count=591 threshold=2
G4S72XW01AW141,F,106,2,Mama_DRB2_01
G4S72XW01BAN6S,R,107,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AZ74L,F,103,3,Mama_UB_02
G4S72XW01A960E,F,51,3,Mama_UB_01
G4S72XW01BEBR1,F,71,4,NewAllele_1596 count=19 threshold=2
G4S72XW01A1VIF,R,35,2,NewAllele_530 count=9 threshold=2
G4S72XW01BAVET,R,101,1,Mama_DRB1_02
G4S72XW01BAPZ5,F,37,1,<unidentified>
G4S72XW01A1VN9,F,127,4,NewAllele_1639 count=37 threshold=2
G4S72XW01AXRBQ,R,49,3,NewAllele_855 count=6 threshold=2
G4S72XW01A7AOU,F,57,1,<unidentified>
G4S72XW01A7S2A,F,23,3,NewAllele_855 count=6 threshold=2
G4S72XW01ATSXO,F,35,1,Mama_DRB1_02
G4S72XW01ARD92,F,113,1,<unidentified>
G4S72XW01AMIEL,R,74,4,NewAllele_1703 count=2 threshold=2
G4S72XW01BC52W,F,101,2,NewAllele_221 count=591 threshold=2
G4S72XW01A621R,R,49,2,NewAllele_636 count=2 threshold=2
G4S72XW01AJUCH,F,25,1,Mama_DRB1_06
G4S72XW01A81D9,F,114,2,NewAllele_508 count=182 threshold=2
G4S72XW01AR4KA,F,93,3,<unidentified>
G4S72XW01BA3WW,F,89,4,Mama_UD_01
G4S72XW01AQAIO,F,112,1,<unidentified>
G4S72XW01ALG7H,F,111,3,<unidentified>
G4S72XW01ATDRH,F,122,1,Mama_DRB1_05
G4S72XW01AW2WG,F,106,1,<unidentified>
G4S72XW01AUKLY,F,82,1,Mama_DRB1_08
G4S72XW01AR62I,F,107,2,NewAllele_508 count=182 threshold=2
G4S72XW01BD99H,F,126,3,NewAllele_985 count=44 threshold=2
G4S72XW01A4109,F,116,4,Mama_UD_01
G4S72XW01AXZA5,R,21,3,Mama_UB_02
G4S72XW01AWTAN,F,35,4,NewAllele_1656 count=8 threshold=2
G4S72XW01AR4X4,F,87,3,NewAllele_938 count=6 threshold=2
G4S72XW01ATDUS,R,69,4,NewAllele_1334 count=3 threshold=2
G4S72XW01A7138,R,81,3,Mama_UB_01
G4S72XW01AX9V3,R,63,3,Mama_UB_02
G4S72XW01BGFQ1,F,127,4,Mama_UD_01
G4S72XW01AZMLP,R,48,4,Mama_UD_01
G4S72XW01AWZ3L,R,36,2,NewAllele_530 count=9 threshold=2
G4S72XW01ASJ72,F,112,4,NewAllele_1602 count=2 threshold=2
G4S72XW01BCVRM,F,98,4,NewAllele_1369 count=3 threshold=2
G4S72XW01AT1I6,R,5,4,Mama_UD_01
G4S72XW01A7G46,R,61,4,NewAllele_1587 count=2 threshold=2
G4S72XW01BBBQ0,R,127,2,NewAllele_176 count=297 threshold=2
G4S72XW01A8G0B,F,110,3,Mama_UB_01
G4S72XW01AKLZP,R,55,2,NewAllele_530 count=9 threshold=2
G4S72XW01A354N,F,107,2,NewAllele_508 count=182 threshold=2
G4S72XW01AVZ5P,R,131,2,NewAllele_530 count=9 threshold=2
G4S72XW01A6GRS,F,71,4,Mama_UD_01
G4S72XW01BC6Y5,F,51,3,Mama_UB_02
G4S72XW01BCMAV,F,124,3,NewAllele_1036 count=17 threshold=2
G4S72XW01BD7TI,F,99,2,NewAllele_508 count=182 threshold=2
G4S72XW01ARFH4,F,95,3,Mama_UB_02
G4S72XW01AU2F3,F,123,4,Mama_UD_01
G4S72XW01A81F2,F,135,1,Mama_DRB1_01
G4S72XW01AMV71,F,116,1,Mama_DRB1_06
G4S72XW01A86DE,F,64,3,<unidentified>
G4S72XW01ALI95,R,35,4,Mama_UD_01
G4S72XW01AOZN8,F,113,2,NewAllele_530 count=9 threshold=2
G4S72XW01A1X0B,R,48,3,Mama_UB_01
G4S72XW01AK8E7,R,108,4,Mama_UD_01
G4S72XW01AMTTN,F,123,1,<unidentified>
G4S72XW01APXYH,F,111,3,NewAllele_1126 count=4 threshold=2
G4S72XW01A2CI7,F,109,2,NewAllele_455 count=5 threshold=2
G4S72XW01AOP4T,F,103,3,Mama_UB_02
G4S72XW01A0D7H,R,118,2,NewAllele_381 count=782 threshold=2
G4S72XW01A2B2Q,F,60,3,Mama_UB_01
G4S72XW01APECB,F,108,3,NewAllele_767 count=2 threshold=2
G4S72XW01BEC7H,R,139,3,Mama_UB_01
G4S72XW01BA3N6,F,100,2,Mama_DRB2_01
G4S72XW01A1KJP,R,113,2,NewAllele_381 count=782 threshold=2
G4S72XW01A2KJ5,F,78,2,Mama_DRB2_02
G4S72XW01AM7BL,F,114,4,NewAllele_1581 count=2 threshold=2
G4S72XW01A5VMV,R,133,4,Mama_UD_01
G4S72XW01BCZYQ,F,104,2,NewAllele_530 count=9 threshold=2
G4S72XW01AKSK1,F,95,3,NewAllele_744 count=17 threshold=2
G4S72XW01A62JO,R,48,1,Mama_DRB1_01
G4S72XW01BEV0U,F,87,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AKCLN,R,60,4,NewAllele_1595 count=3 threshold=2
G4S72XW01ALMP2,F,38,4,NewAllele_1369 count=3 threshold=2
G4S72XW01A44Q0,R,133,1,<unidentified>
G4S72XW01AO4Z5,R,94,2,NewAllele_530 count=9 threshold=2
G4S72XW01BD0TI,F,99,3,NewAllele_810 count=8 threshold=2
G4S72XW01AQRSK,F,116,4,Mama_UD_01
G4S72XW01A9DL2,R,108,2,NewAllele_381 count=782 threshold=2
G4S72XW01AKOV8,F,19,3,NewAllele_855 count=6 threshold=2
G4S72XW01A8NJ5,R,14,2,NewAllele_176 count=297 threshold=2
G4S72XW01ARETM,F,57,2,NewAllele_508 count=182 threshold=2
G4S72XW01BAFBV,F,67,4,Mama_UD_02
G4S72XW01AOOGS,F,19,2,NewAllele_221 count=591 threshold=2
G4S72XW01APHSB,R,2,2,NewAllele_176 count=297 threshold=2
G4S72XW01AKUH2,F,112,3,Mama_UB_01
G4S72XW01A6ZRY,F,102,1,<unidentified>
G4S72XW01BBOVN,F,46,2,Mama_DRB2_01
G4S72XW01A4D0K,R,141,1,<unidentified>
G4S72XW01A343P,R,5,3,NewAllele_744 count=17 threshold=2
G4S72XW01AV9MO,F,24,3,NewAllele_809 count=2 threshold=2
G4S72XW01A14RN,F,118,3,Mama_UB_02
G4S72XW01A5JLL,F,87,1,<unidentified>
G4S72XW01AWPZ4,F,118,1,Mama_DRB1_01
G4S72XW01ARV1G,F,38,4,Mama_UD_01
G4S72XW01ATAO2,F,110,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AV6OD,R,125,1,Mama_DRB1_03
G4S72XW01ARRDT,R,140,1,Mama_DRB1_02
G4S72XW01AOVH9,F,19,3,Mama_UB_01
G4S72XW01BAFEA,R,113,2,NewAllele_530 count=9 threshold=2
G4S72XW01AP8Y6,F,90,2,NewAllele_530 count=9 threshold=2
G4S72XW01ASCFG,F,113,2,NewAllele_508 count=182 threshold=2
G4S72XW01A2K8S,F,112,2,NewAllele_650 count=6 threshold=2
G4S72XW01A5EVR,F,61,4,NewAllele_1397 count=2 threshold=2
G4S72XW01AUCST,F,69,1,<unidentified>
G4S72XW01A775A,F,95,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AK103,F,70,1,NewAllele_152 count=2 threshold=2
G4S72XW01BAZ4I,R,60,3,NewAllele_887 count=2 threshold=2
G4S72XW01A5AL0,F,123,4,Mama_UD_01
G4S72XW01A3H8N,R,47,4,NewAllele_1334 count=3 threshold=2
G4S72XW01APIBR,R,89,2,NewAllele_633 count=4 threshold=2
G4S72XW01BBYDC,R,140,4,Mama_UD_01
G4S72XW01ASXUZ,F,111,4,NewAllele_1636 count=2 threshold=2
G4S72XW01AP4IL,F,93,3,NewAllele_855 count=6 threshold=2
G4S72XW01AWP14,R,113,2,NewAllele_381 count=782 threshold=2
G4S72XW01BADN8,R,92,3,NewAllele_792 count=3 threshold=2
G4S72XW01AXUZY,F,85,3,NewAllele_1104 count=3 threshold=2
G4S72XW01A1X09,R,128,1,NewAllele_46 count=2 threshold=2
G4S72XW01A9C55,F,90,3,Mama_UB_01
G4S72XW01AS36Z,R,98,3,NewAllele_779 count=2 threshold=2
G4S72XW01APDP7,R,98,1,Mama_DRB1_01
G4S72XW01AYG97,R,61,4,NewAllele_1691 count=8 threshold=2
G4S72XW01BBSHY,R,33,2,NewAllele_445 count=4 threshold=2
G4S72XW01ARBWA,R,114,4,NewAllele_1367 count=3 threshold=2
G4S72XW01AU6AA,F,27,3,<unidentified>
G4S72XW01A0TLS,F,50,1,Mama_DRB1_01
G4S72XW01AZU07,R,27,1,Mama_DRB1_01
G4S72XW01A5IWA,R,19,1,Mama_DRB1_07
G4S72XW01AR329,R,31,2,NewAllele_499 count=2 threshold=2
G4S72XW01A7JIP,F,118,1,Mama_DRB1_01
G4S72XW01BFADA,F,7,3,Mama_UB_01
G4S72XW01AOZXU,R,35,1,<unidentified>
G4S72XW01BADSO,F,141,2,Mama_DRB2_02
G4S72XW01BAE73,F,130,2,Mama_DRB2_02
G4S72XW01BFTXK,R,57,2,NewAllele_551 count=2 threshold=2
G4S72XW01A9X7N,F,87,4,Mama_UD_01
G4S72XW01ALK6W,F,23,3,<unidentified>
G4S72XW01A1P94,F,61,3,Mama_UB_01
G4S72XW01A8TTT,F,113,2,Mama_DRB2_01
G4S72XW01BBXF4,F,21,3,NewAllele_878 count=2 threshold=2
G4S72XW01A4582,F,64,4,Mama_UD_01
G4S72XW01AU979,F,25,1,<unidentified>
G4S72XW01ATEI3,R,72,4,Mama_UD_03
G4S72XW01A9MLX,R,113,2,NewAllele_221 count=591 threshold=2
G4S72XW01APZSU,R,23,3,NewAllele_987 count=3 threshold=2
G4S72XW01AKFZE,F,40,1,Mama_DRB1_01
G4S72XW01A9VZ0,F,86,3,Mama_UB_01
G4S72XW01AOP7Y,F,69,3,Mama_UB_02
G4S72XW01ANIM3,R,65,4,NewAllele_1334 count=3 threshold=2
G4S72XW01A2UQB,F,90,4,NewAllele_1618 count=5 threshold=2
G4S72XW01AJKR4,F,71,4,NewAllele_1457 count=5 threshold=2
G4S72XW01A2LPC,F,131,4,NewAllele_1460 count=2 threshold=2
G4S72XW01BD139,R,20,4,NewAllele_1475 count=2 threshold=2
G4S72XW01AN4TI,F,116,2,NewAllele_530 count=9 threshold=2
G4S72XW01AJZ31,F,56,1,<unidentified>
G4S72XW01BAVTP,R,41,4,Mama_UD_01
G4S72XW01AQL9G,F,110,2,NewAllele_508 count=182 threshold=2
G4S72XW01A2RU0,R,136,3,NewAllele_985 count=44 threshold=2
G4S72XW01AYS6G,F,103,2,Mama_DRB2_01
G4S72XW01A2LLE,F,113,2,NewAllele_452 count=2 threshold=2
G4S72XW01A5JGV,F,58,1,<unidentified>
G4S72XW01AQFBT,F,104,2,Mama_DRB2_02
G4S72XW01BD22S,F,60,2,NewAllele_261 count=3 threshold=2
G4S72XW01AQ5C2,F,130,1,Mama_DRB1_05
G4S72XW01A0MXL,R,141,3,NewAllele_1206 count=3 threshold=2
G4S72XW01A2RND,F,144,2,Mama_DRB2_02
G4S72XW01AQOZL,F,2,3,Mama_UB_02
G4S72XW01A8DP4,R,18,1,<unidentified>
G4S72XW01AUL7V,F,60,3,Mama_UB_01
G4S72XW01AUYPV,F,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01BD0J2,F,87,1,Mama_DRB1_01
G4S72XW01A305Z,R,101,4,NewAllele_1656 count=8 threshold=2
G4S72XW01AUBTE,R,109,1,Mama_DRB1_02
G4S72XW01A8ZMB,R,56,1,NewAllele_106 count=3 threshold=2
G4S72XW01AXM8N,R,100,2,NewAllele_513 count=2 threshold=2
G4S72XW01BD0C6,R,61,4,NewAllele_1521 count=18 threshold=2
G4S72XW01AV536,F,110,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AVZNN,F,118,2,Mama_DRB2_01
G4S72XW01A8D5J,F,113,2,Mama_DRB2_02
G4S72XW01AW3D2,F,58,3,<unidentified>
G4S72XW01AQYFW,F,49,4,Mama_UD_01
G4S72XW01AWD8H,F,60,4,Mama_UD_01
G4S72XW01A4XVQ,F,101,2,NewAllele_221 count=591 threshold=2
G4S72XW01A5KT4,R,130,1,Mama_DRB1_05
G4S72XW01A1G4K,R,54,2,NewAllele_381 count=782 threshold=2
G4S72XW01ATV1S,R,89,1,NewAllele_124 count=2 threshold=2
G4S72XW01AMEU1,F,101,2,Mama_DRB2_02
G4S72XW01AVN4R,R,85,4,Mama_UD_01
G4S72XW01AK990,F,33,4,NewAllele_1306 count=6 threshold=2
G4S72XW01AQ96B,F,57,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AOUK5,R,15,2,NewAllele_530 count=9 threshold=2
G4S72XW01A2R8R,F,67,3,NewAllele_1212 count=5 threshold=2
G4S72XW01AXUWS,F,116,1,Mama_DRB1_06
G4S72XW01A5Y9L,F,41,2,NewAllele_613 count=2 threshold=2
G4S72XW01AYDLF,F,66,3,NewAllele_1241 count=10 threshold=2
G4S72XW01AYTCY,F,59,3,NewAllele_867 count=4 threshold=2
G4S72XW01A4MPW,F,82,3,Mama_UB_01
G4S72XW01ANT8V,R,67,1,Mama_DRB1_01
G4S72XW01BBOU2,R,108,1,Mama_DRB1_01
G4S72XW01A8AKA,R,111,3,Mama_UB_01
G4S72XW01AMPXQ,F,109,2,Mama_DRB2_02
G4S72XW01ARU40,F,95,3,Mama_UB_02
G4S72XW01AWTQC,R,109,1,Mama_DRB1_02
G4S72XW01A8UAI,R,116,2,NewAllele_381 count=782 threshold=2
G4S72XW01BB137,R,19,2,NewAllele_221 count=591 threshold=2
G4S72XW01A6SF3,F,51,3,Mama_UB_02
G4S72XW01BFEI8,F,55,3,<unidentified>
G4S72XW01AQNRN,R,44,2,NewAllele_221 count=591 threshold=2
G4S72XW01AXW1R,F,25,3,NewAllele_908 count=2 threshold=2
G4S72XW01ASLFM,R,35,3,NewAllele_825 count=2 threshold=2
G4S72XW01BB599,F,104,4,Mama_UD_01
G4S72XW01A97ST,F,70,2,Mama_DRB2_03
G4S72XW01AVKRJ,F,99,2,NewAllele_508 count=182 threshold=2
G4S72XW01AZNCZ,R,2,1,Mama_DRB1_03
G4S72XW01A65GB,R,104,1,NewAllele_41 count=3 threshold=2
G4S72XW01AXC6G,F,89,4,Mama_UD_01
G4S72XW01BAO7I,F,89,4,NewAllele_1317 count=5 threshold=2
G4S72XW01ALPVL,R,100,3,Mama_UB_01
G4S72XW01BCJCF,F,108,4,NewAllele_1695 count=25 threshold=2
G4S72XW01AT68V,R,21,1,NewAllele_110 count=3 threshold=2
G4S72XW01AX21F,F,108,1,<unidentified>
G4S72XW01A7F1X,R,112,3,NewAllele_852 count=38 threshold=2
G4S72XW01AW4IF,R,3,3,NewAllele_855 count=6 threshold=2
G4S72XW01A0BS9,F,92,3,NewAllele_1161 count=6 threshold=2
G4S72XW01AQRHJ,F,98,2,NewAllele_658 count=2 threshold=2
G4S72XW01A59H1,F,68,2,Mama_DRB2_02
G4S72XW01ANQKU,R,22,2,NewAllele_521 count=3 threshold=2
G4S72XW01AS302,F,116,1,Mama_DRB1_06
